id,created,text,screen name,name,mention 1,mention 2,hashtag 1,hashtag 2,url 1,url 2,lat,lon,place name,place type
752998102462763009,Tue Jul 12 22:48:32 +0000 2016,RT @perezreverte: Pues no todos. Yo no soy Leo Messi. https://t.co/8Ck5s2meDr,mana90900_,Mana90900,perezreverte,,,,https://twitter.com/FCBarcelona_es/status/751782014794207232,,,,,
752998110872346624,Tue Jul 12 22:48:34 +0000 2016,"RT @OzturkSemih: Antalya'ya gidiyorum a dostlar maça , Ronaldo'yu göremedim bari Messi'yi , Arda'yı izleyeyim . Hayır maçı önemli .",mreeconomist,Mr.Economist,OzturkSemih,,,,,,,,,
752998114529832961,Tue Jul 12 22:48:35 +0000 2016,Lionel Messi and father to appeal sentences for tax fraud - https://t.co/yC8TbRa21g,tracykeeiestra1,tracykeeiest,,,,,http://wp.me/p7ylDY-2W,,,,,
752998117486784512,Tue Jul 12 22:48:35 +0000 2016,"RT @JmBlaster: no me aguanté, lo siento xdd
#Ronaldo #Messi #CopaAmerica #Eurocopa https://t.co/CkezH3mz08",winostrozav,Wilfredo Inostroza,JmBlaster,,Ronaldo,Messi,,,,,,
752998122666721280,Tue Jul 12 22:48:37 +0000 2016,"RT @puticlubfarsa: Messi condenado por fraude, el club admite dos delitos, pero los malos de España son el Madrit y Cristiano Ronaldo. ¡Gra…",RamonNavarro5,Ramón Saussseea,puticlubfarsa,,,,,,,,,
752998129386020864,Tue Jul 12 22:48:38 +0000 2016,"RT @Iamsym1: Nigerians can dab to anything music, tags that friend that is capable of doing this.#Ronaldo #messi #retweet https://t.co/aAP9…",beatsbyemzo,BeatbyEmzo,Iamsym1,,Ronaldo,messi,,,,,,
752998130245828609,Tue Jul 12 22:48:38 +0000 2016,RT @viejomoeb: Messi agradece muchísimo el apoyo que ha recibido en Twitter. No hay más que verle de vacaciones. https://t.co/0ouE53bQxu,aparicioa,Arturo Aparicio,viejomoeb,,,,https://twitter.com/finareta/status/752963526763880450,,,,,
752998130430377984,Tue Jul 12 22:48:38 +0000 2016,La película «Ronaldo» es Ronaldo hablando de lo bueno que es Ronaldo. En «Messi» se ven a amigos y leyendas comentando lo bueno que es Messi,Mateo_Alonso96,Mateo,,,,,,,,,,
752998131256684544,Tue Jul 12 22:48:39 +0000 2016,"RT @EstebannLT: Los nuevos botines que estará usando Lionel Messi, a partir de la próxima temporada. https://t.co/J88jPc10SX",AtIeticano,SOMOS TODOS FURACÃO,EstebannLT,,,,,,,,,
752998134075326464,Tue Jul 12 22:48:39 +0000 2016,RT @nickyromero: Nice to meet you Messi! #Legend https://t.co/35cSOFPye4,crf_tay,ㅤ,nickyromero,,Legend,,,,,,,
752998134318522372,Tue Jul 12 22:48:39 +0000 2016,RT @mariobcn71: Gracias a que ha devuelto el dinero y pagado la multa vosotros seguís recibiendo subvenciones. Besadle el culo. https://t.c…,mingolm6,Mingo Lorenzo,mariobcn71,,,,https://twitter.com/el_pais/status/752979630626398210,,,,,
752998134373085184,Tue Jul 12 22:48:39 +0000 2016,"RT @History_Futbol: Todos hablan del golazo de Lionel Messi, pero no veo hablando de esta obra de arte de Zlatan Ibrahimovic. https://t.co/…",MigelitoSoriano,Miguelito Soriano,History_Futbol,,,,,,,,,
