id	screen_name	name	created_at	url	followers_count	friends_count	statuses_count	favourites_count	listed_count	contributors_enabled	description	protected	location	lang	expanded_url
4816	EFF	EFF	Mon Aug 28 14:17:28 +0000 2006	https://t.co/0UKsdjXnWw	308364	884	11149	61	12821	False	We're the Electronic Frontier Foundation. We defend your civil liberties in a digital world.	False	San Francisco, CA	en	https://www.eff.org
9715012	peoplefor	PFAW	Fri Oct 26 17:14:21 +0000 2007	http://t.co/XnA9YzPaGr	15421	5206	9903	130	895	False	We're People For the American Way: a progressive non-profit org working for equal rights and constitutional liberties.	False	Washington, DC	en	http://www.pfaw.org
13023422	TWHP	White House Project	Sun Feb 03 22:11:49 +0000 2008	http://t.co/7X0bJKscGf	6821	578	3716	304	396	False	TWHP ignites the leadership of women in business and politics. We connect, coach, and educate an ever-expanding alumnae network of over 14,000 women.	False	New York, NY	en	http://www.thewhitehouseproject.org/
13393052	ACLU	ACLU National	Tue Feb 12 16:27:34 +0000 2008	http://t.co/AF1gbNvLJ8	265452	978	23166	2983	8147	False	The ACLU is a nonprofit, nonpartisan, legal and advocacy organization devoted to protecting the basic civil liberties of everyone in America.	False	All 50 states 	en	http://www.aclu.org
14226882	NCLR	NCLR	Wed Mar 26 15:54:50 +0000 2008	http://t.co/F1x2vX77GE	55017	10028	22390	1125	1753	False	The largest national Latino civil rights and advocacy organization in the United States, NCLR works to improve opportunities for Hispanic Americans.	False	Washington, DC	en	http://www.nclr.org
14235041	americansunited	Americans United	Thu Mar 27 13:23:30 +0000 2008	http://t.co/B2yPlAK9Lc	11232	631	6647	154	573	False	Americans United for Separation of Church and State is a national religious liberty watchdog group. We've been protecting the wall of separation since 1947!	False	Washington, D.C. 	en	http://www.au.org/donate/
14292458	freepress	Free Press	Thu Apr 03 11:43:22 +0000 2008	http://t.co/GUKQP3fY5g	47819	22693	25165	1025	2664	False	We’re a nonpartisan organization fighting for your rights to connect and communicate.	False	Northampton, MA and Washington	en	http://www.freepress.net
14335586	Public_Citizen	Public Citizen	Tue Apr 08 20:07:57 +0000 2008	http://t.co/GlJHWn6DtV	36649	4347	14131	740	1757	False	Public Citizen is a national, nonprofit advocacy org that has been standing up to corporate power and holding government accountable for 45 yrs.	False	Washington, DC	en	http://www.citizen.org
14730894	FreedomWorks	FreedomWorks	Sun May 11 04:29:14 +0000 2008	http://t.co/TXVi1kh6Nt	256069	21931	49790	472	4265	False	Lower Taxes, Less Government, More Freedom! Educating and equipping a grassroots army for liberty. #grassrootsmatter
#tcot #tlot	False	Washington, DC	en	http://www.FreedomWorks.org
15029174	NTU	Natl Taxpayers Union	Fri Jun 06 13:03:31 +0000 2008	http://t.co/VN03k9KLeq	9704	3500	8229	61	369	False	Official Twitter account of National Taxpayers Union: The Voice of America's Taxpayers.	False	Washington, DC	en	http://www.ntu.org
15474846	ACLU_NorCal	ACLU of Northern CA	Thu Jul 17 22:25:59 +0000 2008	https://t.co/SHTN3GdFrV	11788	2385	8664	4083	667	False	The largest @ACLU affiliate in the nation. We like justice, freedom, equality, and short walks on the beach. Followed by more justice.	False	San Francisco, CA	en	https://www.aclunc.org
15634728	theCCR	The CCR	Mon Jul 28 17:23:38 +0000 2008	http://t.co/Kqu5kxHrTV	16724	2716	15289	1568	987	False	The Center for Constitutional Rights is dedicated to advancing and protecting the rights guaranteed by the U.S. Constitution and the UDHR.	False	New York, NY	en	http://www.ccrjustice.org
15689319	JewishWomenIntl	JWI	Fri Aug 01 14:06:17 +0000 2008	http://t.co/e6zRAd5d6K	4952	1325	8727	1504	206	False	Working to protect fundamental rights of women and girls; building safe homes, healthy relationships, strong women; publishers of https://t.co/R91242V2WB.	False	Washington, DC	en	http://www.jwi.org
15782399	IJ	InstituteForJustice	Fri Aug 08 20:10:53 +0000 2008	http://t.co/Neu1ppC9f3	31031	12147	3028	162	1321	False	The Institute for Justice is the national law firm for liberty.  Follow IJ: protect property, economic liberty, free speech and school choice!	False	Arlington, Virginia	en	http://www.ij.org
15946841	PVA1946	PVA1946	Fri Aug 22 16:27:27 +0000 2008	http://t.co/iW3P7oPayw	17920	12433	13214	21947	581	False	Paralyzed Veterans of America	False	Washington, D.C.	en	http://www.pva.org
16116519	POGOBlog	POGOBlog	Wed Sep 03 17:51:22 +0000 2008	http://t.co/6pYUYfi5QE	9554	5635	11759	2867	566	False	Exposing corruption, exploring solutions. SecureDrop - https://t.co/zd6Mk3IWni
Also at: @StrausReform & @AskMoreKnowMore.	False	Washington, DC	en	http://www.pogo.org
16148677	yaf	YAF	Fri Sep 05 20:04:51 +0000 2008	https://t.co/A3I9nSBnlM	17232	1558	10202	2491	419	False	Young America's Foundation introduces students to conservatism through our campus programs and conferences. The Foundation also preserves the Reagan Ranch.	False	Reston, VA	en	http://www.yaf.org
16223542	RCRChoice	RCRC	Wed Sep 10 16:49:22 +0000 2008	https://t.co/4HIPUnBS0c	3887	1062	3079	237	177	False	Religious Coalition for Reproductive Choice (RCRC): Pro-Family, Pro-Faith, Pro-Choice! #ItsTime	False	Washington, DC	en	http://www.rcrc.org
16315120	CBLPI	CBLPI	Tue Sep 16 18:48:29 +0000 2008	http://t.co/EdlFzudGvI	2369	1078	2154	229	92	False	Preparing and promoting conservative women leaders.	False	Herndon, VA	en	http://www.cblpi.org
16566133	VictoryFund	Victory Fund	Thu Oct 02 20:27:57 +0000 2008	http://t.co/KowEiVTxEE	19060	2220	6419	811	712	False	For 25 years, the Gay & Lesbian Victory Fund and Institute has worked to recruit, train and elect LGBT public officials.	False	Washington, DC	en	http://victoryfund.org
16686673	taxfoundation	Tax Foundation	Fri Oct 10 18:13:37 +0000 2008	http://t.co/yMRykSBZXh	19632	326	14671	1334	781	False	Sound Tax Policy since 1937.	False	Washington, DC	en	http://www.taxfoundation.org
16801671	NatImmForum	NatImmForum	Thu Oct 16 03:33:35 +0000 2008	http://t.co/dP5lbIKrpK	12927	1882	11985	529	491	False	The National Immigration Forum advocates for the value of immigrants and immigration to the nation.	False	Washington, DC	en	http://www.immigrationforum.org
41900627	BetTzedek	Bet Tzedek	Fri May 22 21:03:59 +0000 2009	http://t.co/4QPXrzY8fU	792	212	301	38	38	False	Dedicated to justice for all.	False	Los Angeles, CA	en	http://bettzedek.org
42645839	AmericanFamAssc	American Family Assc	Tue May 26 15:23:05 +0000 2009	https://t.co/vwiNqZOzmz	10733	307	6320	1754	354	False	Since 1977 American Family Association has existed to inform & equip individuals to strengthen the moral foundations of American culture. Radio network: @AFRnet	False	Tupelo, Mississippi	en	http://www.afa.net
42731742	SemperFiFund	Semper Fi Fund	Tue May 26 21:49:09 +0000 2009	https://t.co/G0yzZnkSHN	19976	13810	8432	10638	383	False	Immediate assistance and lifetime support for wounded, critically ill and injured service members, veterans & their families.	False	Facebook.com/SemperFiFund	en	http://www.semperfifund.org
44157002	PatrickHenryCtr	Patrick Henry Center	Tue Jun 02 17:02:20 +0000 2009	http://t.co/OZEDbXQaRg	296	251	630	0	18	False	The Patrick Henry Center serves as the only national organization devoted to promoting political courage and love of liberty as exemplified by Patrick Henry.	False	Manassas, VA	en	http://www.patrickhenrycenter.com
44988185	NAACP	NAACP	Fri Jun 05 20:32:34 +0000 2009	http://t.co/ZN6Tm0vIOF	141893	11731	16066	962	2503	False	Founded Feb. 12, 1909, the NAACP is the nation's oldest and largest grassroots–based civil rights organization. Over 2,000 volunteer-run branches nationwide.	False	Baltimore, MD	en	http://www.naacp.org
48073289	military_family	NatlMilitaryFamAssoc	Wed Jun 17 19:04:09 +0000 2009	http://t.co/cbJJKf8Uwo	18857	2359	12001	2280	419	False	The National Military Family Association tweets! Find us on Facebook at http://t.co/XZV9Dgjz or read our blog at http://t.co/e49g9RRM.	False	Alexandria, VA	en	http://www.militaryfamily.org
